Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,7/20/2023 14:14,AMIS0463,8909821,ICP_CPGM_A,IR,6.9347,PPM,QFH,5.3,5.475533981,5.78,5.475533981,6.26,7/21/2023 8:50
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,AU,12.6951,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,PD,141.5719,PPM,CPL,135.52,137.5825243,141.16,137.5825243,146.79,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,RH,18.1474,PPM,QFL,18.44,18.79106796,19.4,18.79106796,20.35,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,PD,143.9414,PPM,CPL,135.52,137.5825243,141.16,137.5825243,146.79,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,RU,27.6523,PPM,CPL,27.07,27.47226537,28.17,27.47226537,29.26,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,AU,12.7719,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,IR,6.1399,PPM,QWH,5.3,5.475533981,5.78,5.475533981,6.26,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,PT,122.7621,PPM,CPL,120.05,122.1527508,125.8,122.1527508,131.55,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,PT,125.5258,PPM,CPL,120.05,122.1527508,125.8,122.1527508,131.55,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,RH,19.4684,PPM,CPL,18.44,18.79106796,19.4,18.79106796,20.35,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922933,ICP_CPGM_B,RU,29.0702,PPM,QWH,27.07,27.47226537,28.17,27.47226537,29.26,10/19/2023 8:20
WS_SMR,10/18/2023 23:55,AMIS0463,8922928,ICP_CPGM_A,IR,6.9344,PPM,QFH,5.3,5.475533981,5.78,5.475533981,6.26,10/19/2023 8:20
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,CO,0.286,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,CR,1.28,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,CR2O3,1.867,%,CPL,,,,,,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,CU,8.05,%,QWL,7.98,8.064110032,8.21,8.064110032,8.44,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,FE,31.89,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,5/22/2023 15:50
WS_SMR,5/22/2023 9:42,AMIS0463,8900569,ICP_CBM_A,NI,11.34,%,QWL,11.17,11.37113269,11.72,11.37113269,12.27,5/22/2023 15:50
